,ID,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
0,176826,Advanced Scenery in Soap,5.0,5,0.5,3,Lifestyle,Arts & Crafts,Soapmaking,Erica D Pence,English,False,0,1,0,3.5 hours,0,No,128.98,
0,4111256,Certified Indian Dance/English Ballet Drama Sessions Part10,0,0,0,0,Teaching & Academics,Other Teaching & Academics,Indian Dance,Sarita Wariyer,English,False,0,1,0,36 mins,7,No,34.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4068036,Graffiti Styles - Fundamentals,5.0,5,0.5,6,Lifestyle,Other Lifestyle,Graffiti,Dosta Andrew Lake,English,False,0,0,0,4 hours,0,No,128.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3069666,Microsoft Excel in the business context - Advanced course,5.0,5,0.5,2,Office Productivity,Microsoft,Excel Analytics,Felix Stockkamp,English,False,0,0,0,5 hours,21,No,78.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1692224,Japanese Pastry Course #2 Japanese Cheesecake,4.7,5,0.5,339,Lifestyle,Food & Beverage,Baking,IndyAssa Japan,English,False,0,0,0,1.5 hours,7,No,40.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,2103654,Ultimate Vocal Warm Up - Your Daily Singing Workout,4.6,5,0.5,66,Music,Vocal,Singing,Roma Waterman,English,False,0,4,0,2 hours,2,No,98.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3930922,Adobe Lightroom: up your content game,0,0,0,0,Photography & Video,Photography Tools,Adobe Lightroom,Marija Gorbacevica,English,False,0,0,0,1.5 hours,2,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1735004,Video Marketing : YouTube Marketing For Business,4.7,5,0.5,29,Marketing,Video & Mobile Marketing,YouTube Marketing,Sam Dey,English,False,0,0,0,1 hour,0,No,128.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3970682,Advanced Selenium Grid and Cloud | SauceLabs and Jenkins,4.5,5,0.5,5,Development,Software Testing,Selenium WebDriver,Dmitry Shyshkin,English,False,0,0,0,3.5 hours,0,No,108.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,284908,Digitally Painting Vintage Pinup Portraits from a Photograph,4.5,5,0.5,117,Photography & Video,Portrait Photography,,Lori Jill,English,False,0,1,0,3.5 hours,4,No,59.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1333638,Basics of GST in India A Comprehensive Study,4.3,5,0.5,357,Finance & Accounting,Taxes,Goods and Services Tax,"Raja Natarajan, B.Com., PGDBA, FCA",English,False,0,1,0,12 hours,4,No,138.98,"{'amount': 20.0, 'currency': 'SGD', 'price_string': 'S$20', 'currency_symbol': 'S$'}"
0,3184390,Google Ads - Master Course,0,0,0,0,Marketing,Advertising,Google Ads (Adwords),Joe Rovito,English,False,0,0,0,3.5 hours,1,No,59.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4041964,ACCA - Taxation - A complete course,4.0,5,0.5,1,Finance & Accounting,Taxes,Tax Preparation,Navkar Digital Institute,English,False,0,0,0,56 hours,0,No,128.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4065238,Starting Your Yoga Journey (Beginner Yoga),0,0,0,0,Health & Fitness,Yoga,,Bulldog Online,English,False,0,0,0,5 hours,0,No,49.98,
