,course_name,course_link,course_instr,course_rating,coures_reviews,course_totalHourse,course_lectures,course_level,price,price_dis,course_enrollmenters
459,The properties of human language,https://www.udemy.com/course/the-properties-of-human-language/,Chris Rogers,4.3,89,5.5,53,Beginner,49.99,12.99,587
460,Intermediate English Course - Get Fluent in English,https://www.udemy.com/course/easy-english-grammar-and-english-phrases/,Henry Cassidy ✅,3.7,88,3.0,17,Intermediate,54.99,11.99,5404
461,Best Online Course for CAT & Competitive Exams in INDIA-2020,https://www.udemy.com/course/arithmetic-for-placementscrt-through-animated-videos/,Devaki subbalakshmi,4.2,88,6.5,114,All Levels,19.99,11.99,4473
462,Read and Write Japanese: Comprehensive Hiragana and Katakana,https://www.udemy.com/course/japanese-comprehensive-hiragana-and-katakana/,Richard Heiney,4.7,88,5.0,48,Beginner,94.99,11.99,2465
463,English Made Simple: Vocabulary For Business,https://www.udemy.com/course/english-made-simple-vocabulary-for-business/,Fred Williams,4.4,88,1.0,40,Intermediate,39.99,11.99,3124
464,Autodesk Revit & Robot Structural Analysis + Sheets + BOQ,https://www.udemy.com/course/autodesk-revit-robot-building-design-sheets-boq/,Ahmad Traboulsi,4.1,88,6.0,56,All Levels,29.99,11.99,8842
465,Structural Equation Modelling using AMOS: With Examples,https://www.udemy.com/course/structural-equation-modelling-an-introduction/,Vivek Sharma,3.7,88,1.5,14,All Levels,29.99,11.99,1339
466,Learn French Naturally For Children and the Young at Heart 1,https://www.udemy.com/course/learnfrenchnaturallyforchildrenandtheyoungatheart1/,Bryan Whitney,4.5,88,13.5,133,Beginner,99.99,11.99,3108
467,Mastering Character Arcs,https://www.udemy.com/course/mastering-character-arcs/,K.M. Weiland,4.8,88,7.0,36,Beginner,99.99,11.99,882
468,TEFL: How to Teach English Fluency,https://www.udemy.com/course/how-to-master-english-fluency-classes/,Obvia EdTech,3.4,87,2.0,15,All Levels,19.99,11.99,4487
469,"Ratios, Fractions, Decimals and Percentages - the easy way",https://www.udemy.com/course/jpcourses-ratios-fractions-decimals-and-percentages-the-easy-way/,JP COURSES,4.3,85,1.5,12,All Levels,99.99,11.99,13016
470,Becoming A presentation Pro and science behind Presenting,https://www.udemy.com/course/creating-impactful-presentations-mastering-your-pitch/,Garima Goyal,4.3,85,39.0,9,All Levels,24.99,11.99,12337
